,cg25799590,cg01654824,cg14622819,cg23884076,cg14855841,cohort,CXCL10,ARGscore
TCGA-AA-3660-01,0.9323,0.9168,0.6528,0.7333,0.7952,COAD,6.218,3.0561574499999997
TCGA-F4-6461-01,0.9319,0.9341,0.7012,0.6926,0.8069,COAD,7.513,2.6996372200000005
TCGA-CM-4747-01,0.8978,0.9285,0.3144,0.8245,0.7307,COAD,6.845,2.8942269699999996
TCGA-AM-5820-01,0.7265,0.948,0.3378,0.6742,0.7707,COAD,6.971,3.3004107799999995
TCGA-DM-A28H-01,0.6666,0.9525,0.8476,0.8006,0.8576,COAD,5.562,2.21151856
TCGA-D5-7000-01,0.9362,0.9227,0.3901,0.5638,0.8072,COAD,8.6,2.7032302399999995
TCGA-G4-6320-01,0.8592,0.9337,0.7032,0.8085,0.7997,COAD,5.745,1.87232971
TCGA-5M-AAT6-01,0.6728,0.8333,0.3265,0.3576,0.4264,COAD,9.903,2.64623645
TCGA-AZ-6605-01,0.9148,0.9267,0.6302,0.6048,0.7174,COAD,9.306,2.8662182499999997
TCGA-G4-6310-01,0.9301,0.9415,0.5805,0.727,0.8233,COAD,5.448,3.744676179999999
TCGA-DM-A28M-01,0.936,0.9516,0.571,0.7617,0.794,COAD,6.116,1.92051885
TCGA-G4-6317-01,0.9147,0.9482,0.7804,0.8123,0.8589,COAD,4.766,0.9405784699999996
TCGA-DM-A1D4-01,0.9111,0.952,0.5523,0.7558,0.8347,COAD,7.543,1.3618720499999997
TCGA-CM-6170-01,0.5182,0.9514,0.7316,0.6443,0.7943,COAD,7.806,2.61132164
TCGA-NH-A50T-01,0.8963,0.9427,0.7251,0.7703,0.8604,COAD,5.891,2.10070212
TCGA-NH-A6GB-01,0.3746,0.9176,0.6027,0.61,0.7655,COAD,6.42,2.56787156
TCGA-D5-6537-01,0.7135,0.9574,0.7352,0.7168,0.7996,COAD,7.813,1.5929408799999996
TCGA-4N-A93T-01,0.903,0.9318,0.5924,0.7714,0.8157,COAD,4.598,1.32928211
TCGA-F5-6812-01,0.926,0.9313,0.5018,0.6776,0.7182,READ,9.691,2.8043319600000003
TCGA-BM-6198-01,0.6856,0.876,0.2056,0.1906,0.3423,READ,11.54,1.7352762100000003
TCGA-AH-6644-01,0.9203,0.9571,0.554,0.6981,0.59,READ,7.812,2.9603465399999993
TCGA-AH-6903-01,0.9287,0.9442,0.6663,0.7552,0.7771,READ,4.716,2.605686739999999
TCGA-DC-6157-01,0.9232,0.9457,0.5218,0.8791,0.8185,READ,8.357,1.95214935
TCGA-AG-3592-01,0.9065,0.9376,0.7233,0.7275,0.8829,READ,8.587,2.530956700000001
TCGA-AG-3591-01,0.9306,0.8768,0.2753,0.7194,0.7446,READ,6.691,2.34543125
TCGA-DT-5265-01,0.739,0.9524,0.5641,0.7268,0.7656,READ,5.726,4.30321471
TCGA-EI-6506-01,0.7599,0.946,0.6872,0.6871,0.8365,READ,7.348,2.48111693
TCGA-CI-6620-01,0.9214,0.9484,0.641,0.6973,0.7497,READ,4.66,3.0246725899999993
TCGA-AH-6549-01,0.8742,0.9269,0.5486,0.2841,0.423,READ,7.366,3.2491461599999996
TCGA-EI-6514-01,0.8145,0.9489,0.5902,0.8037,0.9011,READ,6.192,3.3061944599999995
TCGA-DY-A1DE-01,0.8317,0.9444,0.7437,0.6241,0.7106,READ,9.031,2.0781234399999997
TCGA-AG-3731-01,0.7727,0.8869,0.238,0.3918,0.4749,READ,11.36,2.3030742500000008
TCGA-EI-6510-01,0.8656,0.9288,0.6187,0.6725,0.8562,READ,6.297,1.86075198
TCGA-EI-6513-01,0.3679,0.9039,0.7163,0.6131,0.8522,READ,8.142,2.1505917399999994
TCGA-G5-6233-01,0.8693,0.9519,0.5642,0.6908,0.7382,READ,6.8,3.080821929999999
TCGA-F5-6465-01,0.8643,0.9202,0.6537,0.5257,0.6956,READ,8.752,2.8932263899999997
TCGA-DY-A1H8-01,0.9093,0.9567,0.85,0.8634,0.8707,READ,5.443,2.5494090499999995
TCGA-CL-5917-01,0.9407,0.9453,0.793,0.8203,0.8265,READ,3.851,3.625210719999999
TCGA-AF-4110-01,0.8878,0.9291,0.6589,0.636,0.719,READ,8.402,2.5536475399999996
TCGA-EI-6511-01,0.7187,0.9219,0.3509,0.3769,0.6538,READ,9.64,2.36727007
TCGA-CI-6619-01,0.8513,0.9326,0.6248,0.5519,0.7186,READ,8.971,2.4729319600000004
TCGA-AH-6544-01,0.9279,0.9531,0.6042,0.7759,0.804,READ,3.846,1.2769228
TCGA-AF-6136-01,0.7527,0.9373,0.4704,0.6049,0.6989,READ,5.749,2.7551538
TCGA-EI-7004-01,0.8208,0.9227,0.2666,0.6473,0.7122,READ,6.993,4.0171171800000005
TCGA-F5-6702-01,0.8006,0.9148,0.5328,0.6598,0.6988,READ,8.788,3.81512036
TCGA-EI-6512-01,0.8337,0.9478,0.5036,0.4977,0.4406,READ,7.89,2.49555567
TCGA-F5-6861-01,0.9185,0.9304,0.549,0.5516,0.6721,READ,7.882,2.55968962
TCGA-F5-6810-01,0.6978,0.953,0.6125,0.8201,0.7827,READ,9.053,3.46152956
TCGA-AF-2690-01,0.8202,0.9179,0.6218,0.5298,0.7701,READ,10.34,3.04773325
TCGA-EF-5830-01,0.6757,0.9676,0.7076,0.7263,0.8005,READ,7.592,2.9388902199999993
TCGA-EI-6881-01,0.9029,0.9382,0.7391,0.768,0.8072,READ,5.959,2.12559177
TCGA-AF-2693-01,0.8846,0.9443,0.6952,0.5478,0.8107,READ,7.584,2.4330323199999992
TCGA-DY-A0XA-01,0.9196,0.9431,0.7649,0.8049,0.826,READ,5.282,2.3815725199999997
TCGA-F5-6863-01,0.9236,0.9535,0.7072,0.7937,0.8026,READ,4.871,3.6023015700000003
TCGA-AF-6655-01,0.9273,0.9468,0.5781,0.6429,0.7681,READ,8.887,2.72928497
TCGA-CI-6624-01,0.7707,0.9356,0.5434,0.645,0.6945,READ,8.154,2.8029002
TCGA-DC-4745-01,0.8793,0.9435,0.6337,0.7768,0.8538,READ,7.828,2.2704227199999996
TCGA-EI-6883-01,0.9384,0.947,0.6887,0.8598,0.8367,READ,9.349,1.65961722
TCGA-EI-6507-01,0.9284,0.9534,0.7799,0.4506,0.6927,READ,8.546,3.258134329999999
TCGA-CI-6623-01,0.927,0.9504,0.5282,0.5052,0.5959,READ,6.141,2.61607549
TCGA-DC-5337-01,0.853,0.941,0.5988,0.627,0.6931,READ,10.27,0.9585486499999996
TCGA-CL-5918-01,0.7255,0.9588,0.6689,0.8135,0.8381,READ,6.908,1.81377116
TCGA-DC-6156-01,0.9189,0.9443,0.4844,0.6617,0.7488,READ,9.635,3.6428337699999993
TCGA-AG-3725-01,0.9043,0.9436,0.717,0.7495,0.7242,READ,7.532,2.190020179999999
TCGA-F5-6864-01,0.9417,0.9461,0.5837,0.7447,0.7667,READ,9.027,3.2667841600000003
TCGA-DC-6160-01,0.931,0.9316,0.6165,0.6952,0.7297,READ,8.138,2.5422112199999995
TCGA-AF-3911-01,0.8648,0.9362,0.7784,0.7807,0.9066,READ,8.517,2.5677044799999997
TCGA-EI-6508-01,0.9202,0.9426,0.8287,0.8665,0.8814,READ,6.659,2.5045752999999995
TCGA-EI-6917-01,0.7935,0.7749,0.2002,0.5616,0.5961,READ,11.3,2.7410463600000003
TCGA-DC-6681-01,0.9296,0.939,0.6266,0.7125,0.7685,READ,7.175,3.5128296999999997
TCGA-F5-6814-01,0.7455,0.8735,0.4273,0.6613,0.6894,READ,10.15,2.7540011599999996
TCGA-F5-6464-01,0.7751,0.9048,0.4266,0.5016,0.663,READ,10.41,3.5576011899999993
TCGA-DC-6158-01,0.9104,0.9439,0.6209,0.764,0.799,READ,10.17,2.78829757
TCGA-DC-5869-01,0.89,0.9449,0.6968,0.7709,0.7728,READ,8.345,2.1984435499999995
TCGA-AF-A56N-01,0.9126,0.9243,0.7628,0.8189,0.8665,READ,6.404,2.97114963
TCGA-AG-4022-01,0.797,0.922,0.6966,0.6934,0.8423,READ,9.513,2.3899712099999997
TCGA-DY-A1DG-01,0.6841,0.9453,0.7571,0.8617,0.9095,READ,7.727,1.17574948
TCGA-EF-5831-01,0.9197,0.9535,0.6945,0.7872,0.837,READ,8.344,2.77466573
TCGA-AG-3732-01,0.9074,0.8149,0.2408,0.1661,0.5075,READ,7.871,2.132398219999999
TCGA-DY-A1DC-01,0.811,0.9363,0.7063,0.7702,0.8644,READ,7.669,2.06874254
TCGA-EI-6885-01,0.8833,0.9612,0.7376,0.6853,0.7638,READ,9.189,2.3412260299999996
TCGA-AF-A56L-01,0.9127,0.9361,0.7002,0.7551,0.8214,READ,8.278,2.3146083799999997
TCGA-AF-A56K-01,0.9097,0.9251,0.7079,0.6882,0.8098,READ,7.978,2.706822429999999
TCGA-DC-6683-01,0.9308,0.9447,0.4857,0.7659,0.7576,READ,6.856,2.7431477
TCGA-AH-6897-01,0.4788,0.9569,0.6822,0.8542,0.8461,READ,6.281,2.00964873
TCGA-AF-2687-01,0.7383,0.9315,0.6006,0.5594,0.8073,READ,10.9,3.123731819999999
TCGA-EI-6882-01,0.9385,0.8505,0.4285,0.8992,0.8518,READ,8.022,2.44594114
TCGA-AH-6643-01,0.9083,0.9527,0.6012,0.7755,0.7806,READ,7.114,3.1123409399999993
TCGA-AF-6672-01,0.9552,0.9222,0.522,0.6163,0.6537,READ,4.478,2.21083449
TCGA-DY-A1DF-01,0.4979,0.9364,0.8765,0.8241,0.8034,READ,6.663,3.15243608
TCGA-DC-6155-01,0.9436,0.9447,0.296,0.4982,0.7663,READ,6.563,1.8031759699999992
TCGA-CL-4957-01,0.8407,0.9602,0.77,0.7147,0.7878,READ,4.874,2.7678705999999997
TCGA-G5-6641-01,0.9353,0.9472,0.4977,0.7265,0.7636,READ,3.603,2.44791245
TCGA-AG-3742-01,0.9536,0.9613,0.7696,0.8028,0.8588,READ,6.701,2.877887699999999
TCGA-AG-4021-01,0.912,0.9536,0.821,0.7686,0.8514,READ,7.389,3.816012769999999
TCGA-F5-6813-01,0.924,0.9355,0.3444,0.6418,0.7149,READ,9.151,2.3066804800000007
TCGA-F5-6571-01,0.951,0.9318,0.7339,0.6909,0.7615,READ,8.286,3.0576054800000003
TCGA-DC-6682-01,0.8871,0.9524,0.6137,0.6233,0.7683,READ,8.803,2.0949335799999993
TCGA-EI-6509-01,0.8957,0.9308,0.6851,0.6497,0.7096,READ,4.552,3.9298289399999993
TCGA-CI-6622-01,0.9365,0.9594,0.613,0.8281,0.7886,READ,5.649,2.5882427000000003
TCGA-G5-6572-01,0.9123,0.9505,0.6616,0.8459,0.8283,READ,5.093,3.699176909999999
TCGA-CI-6621-01,0.9214,0.9462,0.5832,0.4016,0.74,READ,9.058,2.54297259
TCGA-F5-6811-01,0.9177,0.9514,0.4779,0.8051,0.8067,READ,9.941,2.88213941
TCGA-G5-6235-01,0.9123,0.958,0.603,0.6255,0.7606,READ,6.428,1.32609228
TCGA-DC-6154-01,0.9285,0.9364,0.7665,0.8437,0.8182,READ,5.06,3.4361197299999997
TCGA-AH-6547-01,0.8654,0.8899,0.5665,0.6434,0.6409,READ,8.457,2.7448878799999994
TCGA-DY-A1DD-01,0.9179,0.9565,0.8374,0.8829,0.9303,READ,6.26,2.7126404399999995
TCGA-EI-7002-01,0.9438,0.9466,0.416,0.8445,0.7548,READ,7.371,3.08091066
TCGA-EI-6884-01,0.9181,0.9429,0.6457,0.741,0.7651,READ,7.815,2.8836438099999997
TCGA-DC-4749-01,0.8419,0.9495,0.7032,0.6705,0.8677,READ,7.736,1.5725852699999994
