,cg24049621,cg26172016,cg17675150,cg21867891,cg05800761,cg23309969,cg25401010,cg06487082,cg12406559,cg12737497,cg17289202,cg04212150,cg03096126,cg14269096,cg24243629,cg21710408,cg05603258,ch.18.1114073F,cg14517073,cohort,ZNF532,ARGscore
TCGA-AD-6899-01,0.7761,0.6229,0.7962,0.7809,0.7607,0.7753,0.7922,0.0751,0.0842,0.0929,0.0144,0.1617,0.0871,0.4651,0.3634,0.6383,0.9269,0.1062,0.8783,COAD,9.819,3.1599384699999997
TCGA-AY-A8YK-01,0.7404,0.5631,0.88,0.8998,0.8548,0.831,0.908,0.1991,0.2711,0.2312,0.0115,0.3115,0.3594,0.3688,0.304,0.7181,0.9421,0.0758,0.8539,COAD,7.468,2.3278600899999997
TCGA-AD-6895-01,0.8672,0.6538,0.9323,0.9356,0.9235,0.9324,0.9346,0.1964,0.219,0.1465,0.0104,0.4867,0.5894,0.8045,0.5808,0.643,0.7777,0.054,0.866,COAD,8.791,2.04027742
TCGA-F4-6805-01,0.8729,0.7093,0.9369,0.926,0.9059,0.9127,0.9284,0.2251,0.2674,0.1692,0.0131,0.2974,0.3123,0.6028,0.5007,0.4942,0.8863,0.0817,0.9138,COAD,10.06,3.330284100000001
TCGA-AY-5543-01,0.8884,0.3761,0.8654,0.8248,0.9005,0.8269,0.9438,0.123,0.1549,0.0991,0.0168,0.2011,0.1513,0.4751,0.4185,0.4479,0.92,0.0508,0.9376,COAD,8.126,1.4185111099999996
TCGA-D5-6931-01,0.8384,0.4352,0.5996,0.5145,0.6911,0.5991,0.7014,0.2351,0.3131,0.2939,0.0118,0.3395,0.4204,0.4702,0.3331,0.7112,0.8908,0.0675,0.8375,COAD,10.65,2.8797692799999997
TCGA-G4-6627-01,0.8619,0.5288,0.7901,0.7856,0.8862,0.8424,0.8949,0.309,0.3896,0.3037,0.0116,0.3126,0.4107,0.7059,0.5741,0.6171,0.8881,0.0466,0.8841,COAD,9.613,2.6595768899999994
TCGA-A6-5657-01,0.9098,0.5475,0.9335,0.9199,0.9389,0.8953,0.9411,0.1718,0.1609,0.1214,0.0126,0.3135,0.3773,0.631,0.532,0.6367,0.8489,0.0448,0.8946,COAD,9.483,2.263410310000001
TCGA-CM-6165-01,0.9122,0.716,0.9607,0.9471,0.9317,0.9274,0.9381,0.3882,0.2752,0.1592,0.0105,0.5118,0.655,0.6143,0.4868,0.6986,0.9182,0.0556,0.9337,COAD,8.995,2.6464698400000004
TCGA-CM-5861-01,0.4711,0.5873,0.9308,0.9007,0.8704,0.8105,0.9215,0.1126,0.0763,0.1047,0.031,0.113,0.1013,0.4369,0.7035,0.7752,0.8999,0.0359,0.8234,COAD,9.144,2.75641633
TCGA-A6-6649-01,0.8993,0.4281,0.6433,0.6142,0.8171,0.6967,0.7516,0.1693,0.2544,0.1696,0.0086,0.2724,0.2718,0.5324,0.4475,0.6578,0.9172,0.0577,0.9323,COAD,10.26,3.69199479
TCGA-CM-5348-01,0.9287,0.6624,0.9446,0.9049,0.9284,0.875,0.9457,0.082,0.0693,0.0754,0.0102,0.2834,0.2342,0.5308,0.4871,0.6768,0.8844,0.0347,0.8985,COAD,10.35,4.46580427
TCGA-AY-A69D-01,0.8678,0.7886,0.9347,0.9256,0.9162,0.8939,0.9334,0.2617,0.2591,0.1653,0.0145,0.5634,0.6623,0.7995,0.603,0.7756,0.8999,0.0859,0.7365,COAD,8.173,2.297720559999999
TCGA-A6-5662-01,0.896,0.8877,0.9496,0.9365,0.9224,0.746,0.8838,0.2506,0.1764,0.166,0.0399,0.6298,0.8072,0.4766,0.5023,0.7955,0.939,0.0503,0.8734,COAD,8.42,3.3832082399999996
TCGA-AA-3509-01,0.6748,0.1859,0.605,0.7904,0.5993,0.6687,0.767,0.0756,0.1465,0.167,0.0138,0.136,0.0964,0.2586,0.3377,0.7443,0.933,0.1078,0.877,COAD,8.556,2.164061859999999
TCGA-D5-6536-01,0.7868,0.815,0.8997,0.8387,0.3926,0.861,0.341,0.0915,0.0633,0.031,0.0348,0.1897,0.5082,0.5338,0.4832,0.6485,0.9257,0.0366,0.8441,COAD,9.12,4.21978781
TCGA-D5-6539-01,0.897,0.7445,0.9516,0.9261,0.9269,0.9046,0.9558,0.5054,0.5642,0.3864,0.0106,0.5052,0.5459,0.7665,0.4615,0.7033,0.8683,0.0559,0.9055,COAD,8.132,2.82270195
TCGA-D5-6929-01,0.758,0.626,0.9314,0.9185,0.88,0.9026,0.9155,0.1661,0.119,0.085,0.0147,0.4241,0.3862,0.5941,0.5015,0.6034,0.8526,0.1142,0.7851,COAD,8.831,2.8446643399999996
TCGA-CM-6679-01,0.9064,0.5441,0.9113,0.9439,0.9199,0.9194,0.9295,0.094,0.1008,0.0664,0.0108,0.2646,0.2214,0.6043,0.4148,0.6745,0.8715,0.0577,0.9315,COAD,9.841,3.087887189999999
TCGA-A6-5666-01,0.6644,0.7171,0.769,0.8656,0.337,0.8886,0.7856,0.0405,0.0512,0.0355,0.124,0.1387,0.034,0.2343,0.4635,0.8688,0.8927,0.0658,0.4243,COAD,8.387,2.5119820099999997
TCGA-A6-6140-01,0.8934,0.7069,0.9504,0.9384,0.9256,0.9206,0.943,0.1847,0.2509,0.1821,0.0112,0.2351,0.2207,0.6952,0.3156,0.8334,0.9348,0.0983,0.923,COAD,7.878,1.8813134499999995
TCGA-CA-5796-01,0.9045,0.4022,0.9644,0.9509,0.9358,0.9447,0.9238,0.6601,0.8399,0.6843,0.0107,0.6153,0.6824,0.8289,0.7255,0.7918,0.767,0.0606,0.9202,COAD,6.76,2.2832394299999996
TCGA-F4-6463-01,0.8971,0.5082,0.7836,0.8912,0.8794,0.8289,0.8918,0.0955,0.1355,0.0583,0.0132,0.2588,0.2264,0.7341,0.3554,0.664,0.9088,0.0682,0.9274,COAD,9.807,3.09048531
TCGA-D5-6928-01,0.8808,0.5119,0.9418,0.9434,0.9302,0.9252,0.9422,0.1546,0.2256,0.0988,0.0138,0.2116,0.3954,0.8115,0.5352,0.6291,0.8038,0.0552,0.7788,COAD,9.927,2.3716216500000007
TCGA-A6-6648-01,0.9045,0.6696,0.9565,0.9396,0.9396,0.9503,0.946,0.4414,0.4101,0.3309,0.0096,0.3926,0.7293,0.7994,0.5578,0.8005,0.9416,0.0602,0.7797,COAD,8.022,2.3214681399999995
TCGA-CA-6719-01,0.8785,0.3196,0.5101,0.4686,0.6076,0.5071,0.5361,0.0555,0.088,0.0653,0.0114,0.1519,0.0926,0.4391,0.4243,0.6401,0.9017,0.0577,0.9169,COAD,10.26,3.419751840000001
TCGA-AZ-4323-01,0.9025,0.6104,0.9402,0.8674,0.9029,0.878,0.937,0.2085,0.2335,0.1198,0.0118,0.1908,0.1293,0.7538,0.628,0.611,0.833,0.0608,0.8862,COAD,10.09,2.53070389
TCGA-CM-6161-01,0.9194,0.6194,0.9606,0.9346,0.9559,0.9371,0.9468,0.344,0.388,0.2492,0.0098,0.4978,0.5734,0.6886,0.5155,0.5856,0.8668,0.0382,0.8614,COAD,8.804,2.9568010899999995
TCGA-F4-6856-01,0.8393,0.6948,0.9335,0.924,0.911,0.9113,0.9101,0.4306,0.6224,0.3809,0.0119,0.4319,0.6,0.8137,0.629,0.6338,0.9168,0.0813,0.8455,COAD,7.604,2.1587783
TCGA-DM-A1D7-01,0.8766,0.6407,0.938,0.9176,0.9156,0.9278,0.9201,0.1192,0.1138,0.0426,0.0087,0.4039,0.5224,0.7215,0.3163,0.6717,0.9117,0.043,0.9023,COAD,7.486,2.1129402299999995
TCGA-A6-5661-01,0.9277,0.6784,0.959,0.9316,0.9531,0.9324,0.9464,0.2787,0.2438,0.1343,0.0207,0.5483,0.6529,0.6372,0.6389,0.576,0.8884,0.04115,0.9132,COAD,8.275,2.2923648600000006
TCGA-DM-A1D6-01,0.8723,0.8782,0.9487,0.9183,0.9014,0.907,0.938,0.4582,0.4828,0.1514,0.0087,0.631,0.7835,0.7092,0.4595,0.6607,0.9459,0.059,0.9069,COAD,7.381,3.00967228
TCGA-A6-2685-01,0.8474,0.5097,0.8412,0.8736,0.9014,0.8973,0.91,0.1979,0.2486,0.1693,0.0119,0.2684,0.4655,0.5694,0.5093,0.5721,0.863,0.0712,0.8602,COAD,9.489,3.5766837799999993
TCGA-AZ-4315-01,0.8375,0.2724,0.9382,0.918,0.8961,0.873,0.92,0.059,0.0607,0.0579,0.0097,0.1172,0.0402,0.6956,0.7022,0.7201,0.8804,0.0372,0.8953,COAD,7.99,1.5529221599999994
TCGA-CM-6674-01,0.9215,0.4995,0.9553,0.9504,0.9319,0.926,0.9366,0.456,0.424,0.2741,0.0105,0.4685,0.5959,0.7877,0.4466,0.6714,0.9164,0.0517,0.924,COAD,8.547,2.389816510000001
TCGA-CM-4743-01,0.8787,0.5443,0.9053,0.8248,0.9027,0.8432,0.8978,0.1337,0.33,0.2356,0.0861,0.2896,0.3868,0.809,0.702,0.6727,0.913,0.0475,0.8969,COAD,8.073,1.1781966799999994
TCGA-D5-5537-01,0.8019,0.2969,0.622,0.5115,0.6436,0.4245,0.7022,0.0607,0.1134,0.0645,0.0144,0.1233,0.0443,0.2137,0.1992,0.5298,0.9157,0.1076,0.8848,COAD,9.229,3.330920849999999
TCGA-CA-6717-01,0.8607,0.7055,0.9517,0.9506,0.8978,0.9303,0.9305,0.4273,0.4285,0.2939,0.0106,0.4558,0.5248,0.7937,0.7804,0.6766,0.8904,0.0739,0.9202,COAD,9.373,2.91290859
TCGA-F4-6569-01,0.8541,0.7918,0.9504,0.9421,0.9095,0.9049,0.9347,0.3475,0.3363,0.1282,0.0107,0.3398,0.3673,0.653,0.646,0.588,0.8965,0.0847,0.8918,COAD,10.3,3.815321
TCGA-D5-6930-01,0.9021,0.665,0.943,0.9363,0.9258,0.9294,0.9384,0.2934,0.518,0.4269,0.0116,0.4723,0.4944,0.7615,0.655,0.6184,0.8969,0.0645,0.8675,COAD,8.691,1.9523752699999992
TCGA-F4-6807-01,0.9071,0.5395,0.9488,0.9383,0.9241,0.9222,0.9329,0.2168,0.2745,0.151,0.014,0.3732,0.5031,0.5548,0.4717,0.4858,0.8956,0.0609,0.901,COAD,9.582,2.74946483
TCGA-4T-AA8H-01,0.8111,0.2032,0.9229,0.9033,0.8848,0.8783,0.8924,0.1322,0.108,0.0791,0.0118,0.4235,0.56,0.7573,0.3067,0.772,0.8582,0.0538,0.7154,COAD,6.818,2.7854918
TCGA-CM-6164-01,0.9281,0.5912,0.9467,0.9389,0.9401,0.8844,0.9518,0.1642,0.1566,0.0576,0.0135,0.1364,0.07,0.7096,0.4386,0.6513,0.8752,0.0534,0.8398,COAD,8.95,2.1025555799999993
TCGA-A6-6782-01,0.8409,0.5758,0.9294,0.9351,0.8687,0.8986,0.9103,0.1176,0.0715,0.0603,0.0095,0.2372,0.245,0.773,0.3502,0.6368,0.9175,0.1073,0.9,COAD,9.272,3.13939729
TCGA-A6-4105-01,0.8839,0.7252,0.9499,0.9386,0.9245,0.9321,0.9357,0.2015,0.3243,0.1729,0.01,0.4875,0.5467,0.8523,0.4903,0.5964,0.91,0.0744,0.901,COAD,8.556,2.2229634199999997
TCGA-D5-5541-01,0.8898,0.587,0.9336,0.9445,0.9421,0.9274,0.9552,0.1997,0.2748,0.1101,0.0199,0.5342,0.5831,0.7581,0.4163,0.7159,0.9152,0.0502,0.8817,COAD,8.568,2.4775976600000003
TCGA-AA-3506-01,0.7818,0.535,0.9216,0.9296,0.9147,0.8895,0.916,0.2092,0.2156,0.147,0.0089,0.4175,0.612,0.5014,0.3121,0.6998,0.7509,0.0656,0.8137,COAD,8.273,2.738375469999999
TCGA-DM-A28E-01,0.8592,0.6944,0.948,0.9209,0.8828,0.8812,0.9118,0.1305,0.0777,0.0472,0.0129,0.3275,0.4035,0.334,0.2065,0.7723,0.9261,0.0729,0.902,COAD,6.673,1.7885269699999995
TCGA-A6-6138-01,0.8743,0.6211,0.9482,0.9297,0.92,0.9119,0.9323,0.2847,0.3825,0.1201,0.01,0.4435,0.3909,0.7716,0.7673,0.6683,0.9065,0.0864,0.889,COAD,8.5,1.9265912500000009
TCGA-AZ-4682-01,0.8192,0.3048,0.557,0.738,0.7147,0.7164,0.7616,0.1489,0.1615,0.1774,0.0114,0.2419,0.1858,0.3062,0.2201,0.7711,0.918,0.0646,0.843,COAD,7.521,2.84747898
TCGA-D5-6932-01,0.8467,0.8388,0.9323,0.9366,0.8848,0.8821,0.9279,0.1452,0.1343,0.1188,0.0137,0.5911,0.2979,0.7037,0.2962,0.6903,0.9166,0.0738,0.8543,COAD,8.852,2.6206024099999996
TCGA-D5-6538-01,0.8327,0.8619,0.9299,0.8811,0.9019,0.8915,0.9009,0.528,0.556,0.2064,0.0136,0.6983,0.8542,0.7995,0.5503,0.8111,0.951,0.0735,0.8871,COAD,7.808,3.69584807
TCGA-AD-6888-01,0.8654,0.6757,0.9417,0.9544,0.9122,0.9409,0.9359,0.37,0.3237,0.2269,0.0127,0.5427,0.5041,0.7763,0.4743,0.7193,0.9232,0.0677,0.7502,COAD,6.97,1.7177031999999997
TCGA-CM-6678-01,0.886,0.6459,0.9627,0.9508,0.9482,0.9202,0.9381,0.2876,0.2695,0.1721,0.0113,0.4403,0.5576,0.7214,0.4061,0.5252,0.9291,0.0701,0.9167,COAD,8.402,3.2222658899999996
TCGA-CM-5344-01,0.9171,0.6929,0.9361,0.9151,0.9145,0.8641,0.9206,0.1811,0.1787,0.1408,0.01,0.3212,0.3244,0.5891,0.3053,0.6154,0.8939,0.0455,0.8818,COAD,9.717,3.1425773799999996
TCGA-A6-5656-01,0.8765,0.6727,0.9387,0.9369,0.9203,0.8979,0.9368,0.09593,0.09257,0.09067,0.0514,0.3888,0.383,0.2998,0.287,0.6651,0.8863,0.0596,0.8924,COAD,7.752,2.4239795500000003
TCGA-F4-6809-01,0.8824,0.6637,0.9194,0.9185,0.9163,0.8926,0.9313,0.0928,0.1902,0.0861,0.0161,0.2448,0.3168,0.5932,0.4557,0.67,0.8844,0.076,0.8907,COAD,9.223,2.8947506599999997
TCGA-F4-6806-01,0.9006,0.5665,0.8732,0.7815,0.8768,0.8733,0.9073,0.115,0.1079,0.1071,0.0117,0.4138,0.5796,0.5966,0.4614,0.7414,0.9203,0.0568,0.93,COAD,9.133,2.36782294
TCGA-AA-3502-01,0.8486,0.6221,0.9346,0.9273,0.9,0.9184,0.9277,0.3419,0.3306,0.2456,0.0111,0.5981,0.8364,0.683,0.6006,0.5972,0.5408,0.0531,0.824,COAD,6.609,1.8799024
TCGA-NH-A8F8-01,0.7908,0.5833,0.8485,0.8345,0.838,0.8147,0.8516,0.0492,0.0756,0.056,0.0132,0.2145,0.2214,0.7174,0.3028,0.6053,0.9082,0.0749,0.8735,COAD,9.353,3.16831506
TCGA-AY-6196-01,0.9341,0.7453,0.9647,0.9393,0.948,0.9387,0.9546,0.3829,0.2996,0.1178,0.0092,0.3382,0.3968,0.8504,0.7466,0.7103,0.8519,0.0392,0.9215,COAD,10.43,3.2240426600000003
TCGA-CM-5868-01,0.8983,0.6364,0.9482,0.9201,0.9314,0.9081,0.9441,0.2037,0.1004,0.0886,0.0111,0.4565,0.4778,0.6708,0.4523,0.6197,0.8601,0.0468,0.7259,COAD,8.966,2.808326950000001
TCGA-RU-A8FL-01,0.8776,0.7429,0.9433,0.9294,0.9144,0.9161,0.9336,0.3161,0.4061,0.2063,0.0143,0.5862,0.5752,0.6841,0.4493,0.7356,0.9038,0.0785,0.6403,COAD,6.121,1.46969441
TCGA-CK-4951-01,0.8714,0.4066,0.7819,0.7367,0.7999,0.765,0.8063,0.3023,0.3317,0.2342,0.1315,0.3513,0.4603,0.6403,0.3775,0.5297,0.8833,0.0414,0.9113,COAD,9.332,2.6819479499999983
TCGA-D5-6922-01,0.676,0.4732,0.7024,0.7634,0.6069,0.6639,0.7367,0.0919,0.0958,0.1303,0.013,0.0974,0.0459,0.2382,0.2525,0.5527,0.9303,0.1973,0.6642,COAD,9.705,3.1120947599999993
TCGA-AA-3697-01,0.8711,0.6601,0.948,0.9137,0.9164,0.9069,0.9113,0.2365,0.2075,0.1629,0.0097,0.3542,0.3817,0.5202,0.2893,0.7629,0.9078,0.0576,0.9015,COAD,7.884,1.8787966599999997
TCGA-A6-6142-01,0.8966,0.5843,0.8725,0.8612,0.8486,0.8116,0.91,0.1237,0.0908,0.0473,0.011,0.3337,0.3689,0.4206,0.5312,0.4779,0.8841,0.0548,0.8187,COAD,9.58,3.11515258
TCGA-F4-6704-01,0.9028,0.6413,0.8959,0.8212,0.8799,0.8554,0.89,0.1435,0.1199,0.1067,0.0181,0.3152,0.3388,0.7359,0.689,0.6628,0.9104,0.0791,0.8736,COAD,10.01,3.4780265899999994
TCGA-AZ-6599-01,0.9192,0.5072,0.9694,0.9534,0.9444,0.9554,0.9454,0.5826,0.6275,0.3559,0.0106,0.699,0.8703,0.8676,0.6035,0.6645,0.9204,0.0421,0.8972,COAD,6.236,1.77021467
TCGA-5M-AAT4-01,0.7498,0.3435,0.6902,0.5827,0.6981,0.6633,0.702,0.042,0.0679,0.058,0.0122,0.0851,0.0329,0.4376,0.3561,0.6553,0.9211,0.0681,0.8486,COAD,8.781,3.12995597
TCGA-CK-5914-01,0.9089,0.5004,0.9475,0.9486,0.9106,0.9151,0.9502,0.1156,0.1014,0.0493,0.0131,0.5543,0.7125,0.7843,0.5479,0.8102,0.9321,0.059,0.8864,COAD,8.488,1.9772516
TCGA-CM-5860-01,0.9206,0.3487,0.9552,0.8973,0.8899,0.9025,0.9478,0.0904,0.0661,0.1004,0.0119,0.5344,0.5819,0.3559,0.3911,0.4351,0.878,0.0443,0.9289,COAD,9.198,2.4358659799999995
TCGA-AD-6965-01,0.8038,0.4705,0.883,0.8854,0.8438,0.8611,0.8948,0.0579,0.071,0.0839,0.0134,0.426,0.4983,0.4335,0.2676,0.7056,0.9268,0.0781,0.7059,COAD,8.696,3.02391084
TCGA-A6-6780-01,0.8813,0.5579,0.9557,0.9433,0.9413,0.9221,0.9373,0.1211,0.1491,0.1037,0.02317,0.4996,0.6048,0.586,0.5056,0.5484,0.909,0.0425,0.8399,COAD,7.507,1.5589372299999995
TCGA-A6-2686-01,0.7753,0.6164,0.8204,0.7366,0.8005,0.7443,0.8729,0.074,0.066,0.0532,0.0153,0.3157,0.3767,0.5032,0.4657,0.7101,0.9187,0.055,0.8549,COAD,8.392,2.53118747
TCGA-CM-6677-01,0.7988,0.5121,0.938,0.9316,0.8571,0.8649,0.9238,0.2041,0.2265,0.1696,0.0145,0.4694,0.5172,0.5498,0.4394,0.6742,0.9195,0.0972,0.9073,COAD,8.419,2.172978529999999
TCGA-A6-A567-01,0.7298,0.3308,0.5117,0.4845,0.6928,0.6246,0.6349,0.16,0.2506,0.2481,0.0123,0.2933,0.3538,0.3254,0.2486,0.448,0.9057,0.0706,0.883,COAD,9.275,3.0037492699999997
TCGA-D5-5540-01,0.8745,0.9234,0.9161,0.8929,0.7189,0.8954,0.9018,0.2378,0.204,0.0846,0.039,0.2527,0.0645,0.5069,0.2795,0.8978,0.882,0.04,0.8731,COAD,8.23,1.49811063
TCGA-DM-A1DB-01,0.8786,0.7055,0.9564,0.9238,0.9218,0.9127,0.9303,0.0977,0.1322,0.0659,0.0098,0.5641,0.6464,0.3767,0.2771,0.7135,0.9562,0.0582,0.9115,COAD,7.356,1.04619536
TCGA-QG-A5Z2-01,0.9061,0.5855,0.9577,0.9423,0.9443,0.9426,0.9462,0.3026,0.3085,0.1371,0.0123,0.5413,0.6878,0.8144,0.758,0.7936,0.8269,0.0618,0.9122,COAD,7.841,1.4245962999999993
TCGA-D5-6898-01,0.8594,0.5431,0.9108,0.9307,0.9047,0.9029,0.9121,0.0892,0.1259,0.084,0.0132,0.4843,0.5499,0.718,0.5572,0.5769,0.8946,0.0623,0.5964,COAD,8.904,2.8973863299999993
TCGA-AZ-5407-01,0.8952,0.55,0.9464,0.9367,0.9255,0.9302,0.9307,0.2613,0.2784,0.1721,0.0106,0.5452,0.6881,0.7655,0.4423,0.5395,0.9329,0.0502,0.9316,COAD,6.922,2.34053732
TCGA-A6-2684-01,0.8213,0.4834,0.9065,0.9026,0.8799,0.8626,0.894,0.06797,0.07403,0.07217,0.02653,0.1222,0.1048,0.3756,0.3774,0.584,0.8784,0.08033,0.8802,COAD,9.69,3.201240709999999
TCGA-CM-6167-01,0.9075,0.532,0.9349,0.9382,0.9375,0.91,0.9249,0.1426,0.1971,0.0584,0.0088,0.354,0.3987,0.4416,0.3444,0.4636,0.8225,0.0457,0.9293,COAD,10.68,3.828590889999999
TCGA-DM-A28G-01,0.9062,0.4986,0.9273,0.869,0.9215,0.9378,0.9135,0.0804,0.1024,0.0844,0.0131,0.3982,0.5,0.5695,0.2928,0.6931,0.9185,0.0506,0.8946,COAD,8.863,2.96225505
TCGA-AA-3492-01,0.8691,0.3934,0.9517,0.9343,0.9082,0.9183,0.9185,0.0562,0.0802,0.0771,0.0093,0.164,0.121,0.5486,0.4845,0.7688,0.8895,0.0566,0.909,COAD,8.441,2.3497055199999997
TCGA-G4-6322-01,0.7621,0.0985,0.3713,0.8886,0.9094,0.9101,0.95,0.0686,0.4871,0.582,0.4775,0.656,0.7083,0.1453,0.1014,0.1925,0.2171,0.0459,0.5429,COAD,7.756,2.16252988
TCGA-AD-6889-01,0.9146,0.9061,0.9488,0.9396,0.937,0.9357,0.9395,0.8164,0.8065,0.4975,0.0115,0.706,0.837,0.8865,0.8862,0.509,0.9164,0.0588,0.8766,COAD,7.766,2.6269522399999996
TCGA-CM-6163-01,0.8596,0.5333,0.9595,0.9509,0.936,0.9341,0.913,0.2315,0.2752,0.1541,0.011,0.3948,0.4532,0.5522,0.5738,0.7062,0.9061,0.0642,0.9295,COAD,8.569,2.77880463
TCGA-G4-6586-01,0.8945,0.4277,0.9552,0.9392,0.9327,0.9408,0.9498,0.1404,0.1555,0.1077,0.0082,0.5147,0.5005,0.6591,0.7208,0.8146,0.9468,0.0589,0.8913,COAD,7.549,1.5374904799999998
TCGA-G4-6323-01,0.9087,0.6484,0.9586,0.9411,0.9439,0.9365,0.9481,0.1617,0.1481,0.0899,0.0118,0.3797,0.5,0.8157,0.554,0.7033,0.9031,0.0548,0.8568,COAD,8.492,1.52578098
TCGA-CA-5797-01,0.8541,0.3257,0.4952,0.486,0.6148,0.5495,0.4998,0.0677,0.0562,0.0642,0.0111,0.0665,0.0394,0.3593,0.2667,0.5969,0.9041,0.0629,0.7672,COAD,9.03,2.207344439999999
TCGA-CK-4950-01,0.8826,0.4479,0.9416,0.9457,0.9304,0.9153,0.9469,0.3181,0.3495,0.2652,0.0092,0.4998,0.663,0.8495,0.5397,0.7496,0.8785,0.0405,0.8978,COAD,7.766,2.3469208299999993
TCGA-D5-6529-01,0.8602,0.4483,0.6363,0.5591,0.7398,0.7164,0.8581,0.1183,0.1462,0.068,0.0114,0.0867,0.0385,0.51,0.461,0.7002,0.877,0.0495,0.8619,COAD,10.34,2.94312309
TCGA-DM-A1D0-01,0.8963,0.6921,0.9546,0.9331,0.9131,0.9338,0.9299,0.1989,0.1688,0.0537,0.0095,0.4884,0.5237,0.6401,0.269,0.7537,0.9223,0.0592,0.8865,COAD,6.633,2.1264954100000004
TCGA-DM-A282-01,0.8796,0.4917,0.6564,0.7396,0.7552,0.6044,0.7766,0.0631,0.0798,0.0648,0.0144,0.0882,0.055,0.2075,0.1854,0.7394,0.9446,0.0611,0.9297,COAD,8.778,2.658877079999999
TCGA-A6-5660-01,0.9222,0.7021,0.9395,0.9216,0.9543,0.9174,0.9557,0.2564,0.2666,0.1723,0.0186,0.4921,0.5588,0.6462,0.405,0.7984,0.914,0.0687,0.84,COAD,8.508,3.103961799999999
TCGA-G4-6299-01,0.8766,0.3084,0.5148,0.5558,0.7052,0.6381,0.6727,0.0887,0.1098,0.0765,0.0102,0.1115,0.0445,0.602,0.3982,0.6632,0.9334,0.0794,0.9089,COAD,9.911,3.2780584
TCGA-DM-A1DA-01,0.9322,0.2623,0.9615,0.9519,0.946,0.9455,0.9546,0.2893,0.3366,0.1439,0.0092,0.7462,0.7591,0.5932,0.112,0.8521,0.2135,0.0333,0.8433,COAD,6.899,1.5905401099999996
TCGA-D5-6920-01,0.8285,0.7435,0.9401,0.9279,0.9245,0.9214,0.9304,0.4567,0.5174,0.3412,0.0149,0.5593,0.6756,0.8042,0.5502,0.6596,0.8986,0.0602,0.8724,COAD,8.018,2.691435279999999
TCGA-DM-A1D8-01,0.9109,0.6196,0.9603,0.9524,0.9453,0.9187,0.9487,0.5267,0.6115,0.4223,0.0098,0.6106,0.7275,0.8053,0.6203,0.5721,0.8315,0.0651,0.8473,COAD,7.187,2.08815446
TCGA-DM-A1HA-01,0.88,0.145,0.5083,0.6013,0.5163,0.7893,0.8406,0.0413,0.043,0.0451,0.0094,0.0415,0.019,0.5959,0.6253,0.3152,0.9461,0.0545,0.911,COAD,9.508,2.55383435
TCGA-DM-A285-01,0.8781,0.522,0.8692,0.8584,0.9178,0.8892,0.9106,0.0796,0.1138,0.0942,0.0141,0.0947,0.0495,0.3725,0.388,0.4574,0.8994,0.0429,0.8931,COAD,9.334,3.70304467
TCGA-G4-6303-01,0.8988,0.6152,0.9348,0.9471,0.9247,0.9338,0.933,0.1937,0.1221,0.089,0.0158,0.462,0.5867,0.7285,0.2688,0.7311,0.9477,0.0554,0.8881,COAD,8.637,3.07850993
TCGA-G4-6294-01,0.8451,0.4255,0.9593,0.9362,0.9293,0.9233,0.9459,0.0831,0.0604,0.0683,0.0134,0.5107,0.6815,0.7339,0.2422,0.8241,0.9117,0.0746,0.9284,COAD,8.03,2.72184751
TCGA-AZ-6601-01,0.884,0.7066,0.9629,0.9381,0.9328,0.9185,0.9501,0.2409,0.2803,0.111,0.0174,0.3423,0.3784,0.8483,0.7392,0.6792,0.9079,0.0543,0.9145,COAD,8.807,2.7316493799999995
TCGA-AZ-4684-01,0.6989,0.2959,0.6029,0.5033,0.7115,0.6296,0.6724,0.0714,0.1441,0.0677,0.0111,0.1668,0.1306,0.2435,0.3916,0.6322,0.8903,0.0685,0.7982,COAD,8.689,2.3660139699999996
TCGA-D5-6532-01,0.8855,0.4049,0.9466,0.9255,0.9236,0.9056,0.9102,0.102,0.0605,0.0463,0.0086,0.4647,0.406,0.4105,0.2114,0.7095,0.9276,0.0687,0.9082,COAD,7.576,2.26005285
TCGA-A6-A565-01,0.9004,0.6487,0.9618,0.9318,0.9367,0.9135,0.9371,0.4822,0.554,0.3738,0.0114,0.3993,0.5632,0.7477,0.6183,0.6264,0.8176,0.0447,0.8667,COAD,9.346,2.6948333799999995
TCGA-5M-AATA-01,0.807,0.4345,0.8027,0.8562,0.8316,0.8329,0.8804,0.1015,0.1209,0.0862,0.0117,0.1658,0.1372,0.4335,0.2519,0.6506,0.8935,0.045,0.8264,COAD,9.481,3.05173259
TCGA-D5-6531-01,0.8747,0.4983,0.8248,0.7343,0.8219,0.8634,0.8445,0.0474,0.0839,0.0646,0.0105,0.2986,0.356,0.6772,0.3989,0.8097,0.8522,0.0687,0.9329,COAD,9.163,2.4961873999999993
TCGA-5M-AAT5-01,0.8441,0.2925,0.8061,0.8289,0.8187,0.8048,0.8655,0.1048,0.0919,0.0855,0.0128,0.308,0.4103,0.6324,0.2488,0.7385,0.9163,0.0487,0.8041,COAD,7.66,2.5014431
TCGA-DM-A0XD-01,0.8235,0.473,0.6155,0.4467,0.6654,0.6053,0.6945,0.0874,0.0696,0.0605,0.0108,0.0654,0.0261,0.3308,0.2581,0.5354,0.8938,0.0469,0.9119,COAD,9.458,2.8488954099999995
