,cg17001652,cg12020230,cg01134794,cg06662476,cohort,CXCL13,ARGscore
TCGA-EI-6506-01,0.7907,0.9062,0.8579,0.9005,READ,4.753,2.48111693
TCGA-CI-6620-01,0.5872,0.8311,0.8693,0.8944,READ,5.3,3.0246725899999993
TCGA-AH-6549-01,0.3878,0.9013,0.8734,0.8756,READ,4.163,3.2491461599999996
TCGA-EI-6514-01,0.2632,0.9477,0.8207,0.9054,READ,4.815,3.3061944599999995
TCGA-DY-A1DE-01,0.2651,0.3958,0.8094,0.8554,READ,6.609,2.0781234399999997
TCGA-AG-3731-01,0.5282,0.8402,0.7482,0.8987,READ,8.568,2.3030742500000008
TCGA-EI-6510-01,0.4392,0.7702,0.8632,0.9155,READ,5.448,1.86075198
TCGA-EI-6513-01,0.2692,0.5134,0.5722,0.4055,READ,6.681,2.1505917399999994
TCGA-G5-6233-01,0.566,0.887,0.747,0.8147,READ,3.52,3.080821929999999
TCGA-F5-6465-01,0.466,0.8731,0.7562,0.8885,READ,8.42,2.8932263899999997
TCGA-DY-A1H8-01,0.5991,0.9019,0.878,0.8941,READ,4.18,2.5494090499999995
TCGA-CL-5917-01,0.6838,0.9392,0.8844,0.9031,READ,0.5824,3.625210719999999
TCGA-AF-4110-01,0.8301,0.9008,0.8369,0.8871,READ,6.755,2.5536475399999996
TCGA-EI-6511-01,0.3867,0.9045,0.8752,0.9084,READ,7.305,2.36727007
TCGA-CI-6619-01,0.5309,0.6145,0.6383,0.8202,READ,5.709,2.4729319600000004
TCGA-AH-6544-01,0.8471,0.9336,0.903,0.9326,READ,6.749,1.2769228
TCGA-AF-6136-01,0.3552,0.9455,0.8797,0.8998,READ,6.505,2.7551538
TCGA-EI-7004-01,0.7351,0.9309,0.8487,0.7166,READ,6.608,4.0171171800000005
TCGA-F5-6702-01,0.6983,0.7388,0.794,0.6814,READ,5.948,3.81512036
TCGA-EI-6512-01,0.796,0.9172,0.8331,0.8271,READ,4.781,2.49555567
TCGA-F5-6861-01,0.7793,0.9099,0.8516,0.9069,READ,4.616,2.55968962
TCGA-F5-6810-01,0.3155,0.4325,0.7972,0.8416,READ,1.989,3.46152956
TCGA-AF-2690-01,0.6139,0.8923,0.6877,0.7362,READ,8.869,3.04773325
TCGA-EF-5830-01,0.2204,0.59,0.9038,0.904,READ,3.261,2.9388902199999993
TCGA-EI-6881-01,0.8836,0.9512,0.8243,0.8898,READ,3.807,2.12559177
TCGA-AF-2693-01,0.5208,0.8871,0.8687,0.8704,READ,6.466,2.4330323199999992
TCGA-DY-A0XA-01,0.6479,0.9473,0.8624,0.8611,READ,6.235,2.3815725199999997
TCGA-F5-6863-01,0.9044,0.9539,0.8853,0.8957,READ,1.314,3.6023015700000003
TCGA-AF-6655-01,0.4386,0.93,0.8268,0.882,READ,4.695,2.72928497
TCGA-CI-6624-01,0.5927,0.7931,0.9149,0.8965,READ,7.053,2.8029002
TCGA-DC-4745-01,0.705,0.9366,0.7881,0.8909,READ,4.267,2.2704227199999996
TCGA-EI-6883-01,0.5391,0.9568,0.9253,0.942,READ,6.309,1.65961722
TCGA-EI-6507-01,0.5956,0.9473,0.8685,0.9009,READ,8.779,3.258134329999999
TCGA-CI-6623-01,0.4449,0.8142,0.7213,0.8489,READ,3.579,2.61607549
TCGA-DC-5337-01,0.5159,0.8858,0.8852,0.9305,READ,8.048,0.9585486499999996
TCGA-CL-5918-01,0.597,0.9592,0.8743,0.905,READ,3.118,1.81377116
TCGA-DC-6156-01,0.6377,0.9372,0.8771,0.8867,READ,5.106,3.6428337699999993
TCGA-AG-3725-01,0.2648,0.557,0.862,0.8615,READ,4.672,2.190020179999999
TCGA-F5-6864-01,0.4935,0.9017,0.8733,0.8952,READ,6.562,3.2667841600000003
TCGA-DC-6160-01,0.5516,0.8902,0.8765,0.8941,READ,5.613,2.5422112199999995
TCGA-AF-3911-01,0.2233,0.5697,0.5878,0.6492,READ,5.361,2.5677044799999997
TCGA-EI-6508-01,0.7319,0.551,0.8945,0.9006,READ,3.959,2.5045752999999995
TCGA-EI-6917-01,0.743,0.8953,0.7936,0.9249,READ,7.665,2.7410463600000003
TCGA-DC-6681-01,0.4978,0.9393,0.8517,0.9191,READ,2.25,3.5128296999999997
TCGA-F5-6814-01,0.4415,0.7564,0.8575,0.9041,READ,6.603,2.7540011599999996
TCGA-F5-6464-01,0.8916,0.9356,0.8521,0.8924,READ,6.425,3.5576011899999993
TCGA-DC-6158-01,0.4439,0.7116,0.6392,0.7808,READ,6.928,2.78829757
TCGA-DC-5869-01,0.3873,0.7179,0.7665,0.8852,READ,5.504,2.1984435499999995
TCGA-AF-A56N-01,0.2459,0.8501,0.8197,0.8645,READ,3.42,2.97114963
TCGA-AG-4022-01,0.5197,0.9339,0.8138,0.8664,READ,7.846,2.3899712099999997
TCGA-DY-A1DG-01,0.385,0.5112,0.8775,0.9083,READ,1.305,1.17574948
TCGA-EF-5831-01,0.7096,0.7454,0.8429,0.9282,READ,5.51,2.77466573
TCGA-AG-3732-01,0.5183,0.903,0.824,0.6928,READ,9.447,2.132398219999999
TCGA-DY-A1DC-01,0.5782,0.9125,0.876,0.914,READ,6.084,2.06874254
TCGA-EI-6885-01,0.4741,0.9407,0.8657,0.8622,READ,8.785,2.3412260299999996
TCGA-AF-A56L-01,0.7533,0.9201,0.8334,0.8416,READ,5.885,2.3146083799999997
TCGA-AF-A56K-01,0.402,0.91,0.8049,0.8527,READ,6.452,2.706822429999999
TCGA-DC-6683-01,0.4084,0.712,0.8777,0.7445,READ,6.967,2.7431477
TCGA-AH-6897-01,0.158,0.3558,0.8605,0.884,READ,3.913,2.00964873
TCGA-AF-2687-01,0.5218,0.6158,0.7168,0.7428,READ,8.767,3.123731819999999
TCGA-EI-6882-01,0.494,0.8404,0.7971,0.9375,READ,4.542,2.44594114
TCGA-AH-6643-01,0.6876,0.9447,0.8566,0.9138,READ,4.806,3.1123409399999993
TCGA-AF-6672-01,0.6615,0.9122,0.9136,0.8979,READ,7.1,2.21083449
TCGA-DY-A1DF-01,0.1457,0.8804,0.8869,0.9105,READ,1.158,3.15243608
TCGA-DC-6155-01,0.5951,0.8772,0.8886,0.9072,READ,4.239,1.8031759699999992
TCGA-CL-4957-01,0.6484,0.951,0.8172,0.8477,READ,3.28,2.7678705999999997
TCGA-G5-6641-01,0.6153,0.8898,0.9181,0.9144,READ,4.025,2.44791245
TCGA-AG-3742-01,0.5607,0.9175,0.9076,0.674,READ,3.492,2.877887699999999
TCGA-AG-4021-01,0.234,0.8186,0.7421,0.7546,READ,3.311,3.816012769999999
TCGA-F5-6813-01,0.8706,0.9224,0.8613,0.9075,READ,8.114,2.3066804800000007
TCGA-F5-6571-01,0.6398,0.9407,0.8695,0.9048,READ,5.733,3.0576054800000003
TCGA-DC-6682-01,0.8154,0.9106,0.9102,0.9103,READ,6.576,2.0949335799999993
TCGA-EI-6509-01,0.7688,0.917,0.873,0.8767,READ,1.248,3.9298289399999993
TCGA-CI-6622-01,0.4862,0.9577,0.9161,0.9474,READ,3.864,2.5882427000000003
TCGA-G5-6572-01,0.8903,0.9227,0.9106,0.9012,READ,0.4894,3.699176909999999
TCGA-CI-6621-01,0.8481,0.9315,0.8611,0.8733,READ,5.804,2.54297259
TCGA-F5-6811-01,0.49,0.7367,0.8949,0.6972,READ,6.062,2.88213941
TCGA-G5-6235-01,0.6937,0.9256,0.8656,0.9011,READ,6.916,1.32609228
TCGA-DC-6154-01,0.2187,0.2867,0.8828,0.7511,READ,2.394,3.4361197299999997
TCGA-AH-6547-01,0.7603,0.8769,0.9174,0.9155,READ,9.402,2.7448878799999994
TCGA-DY-A1DD-01,0.1637,0.9454,0.9017,0.7982,READ,3.587,2.7126404399999995
TCGA-EI-7002-01,0.6153,0.9538,0.8638,0.9234,READ,4.869,3.08091066
TCGA-EI-6884-01,0.6114,0.9414,0.8567,0.9242,READ,5.367,2.8836438099999997
TCGA-DC-4749-01,0.559,0.9306,0.8324,0.8983,READ,4.711,1.5725852699999994
