,cg04625493,cg26561773,cg12124912,cg02811156,cg16786117,cg15166523,cohort,VSIG4,ARGscore
TCGA-A6-5667-01,0.8637,0.8721,0.8314,0.8481,0.945,0.8807,COAD,6.888,2.97988524
TCGA-G4-6315-01,0.9089,0.8145,0.9041,0.9059,0.934,0.8815,COAD,4.739,1.96925307
TCGA-A6-6781-01,0.8307,0.8349,0.663,0.8429,0.916,0.9002,COAD,9.03,3.3542535499999993
TCGA-D5-6541-01,0.901,0.4813,0.8307,0.8497,0.9382,0.5831,COAD,8.047,2.74987436
TCGA-DM-A1D9-01,0.5508,0.6172,0.8247,0.6187,0.9274,0.5657,COAD,6.127,2.45576548
TCGA-AD-6901-01,0.9192,0.9133,0.8677,0.9217,0.9512,0.9286,COAD,8.988,3.150320629999998
TCGA-CK-6748-01,0.9491,0.9277,0.8427,0.9025,0.941,0.916,COAD,8.322,3.52601543
TCGA-AA-3496-01,0.8322,0.908,0.7857,0.9028,0.9487,0.8814,COAD,8.497,2.68523144
TCGA-CM-4751-01,0.5745,0.9152,0.8879,0.9017,0.9502,0.9071,COAD,6.996,2.089463139999999
TCGA-A6-6652-01,0.9457,0.9248,0.9329,0.9235,0.9395,0.9034,COAD,5.156,2.92505537
TCGA-F4-6459-01,0.8076,0.6559,0.8095,0.9212,0.9321,0.7632,COAD,8.299,3.7544122399999993
TCGA-SS-A7HO-01,0.2656,0.4465,0.8517,0.8513,0.9135,0.4091,COAD,6.824,3.19961994
TCGA-A6-6650-01,0.6551,0.7037,0.8378,0.9096,0.9447,0.6401,COAD,6.155,2.2985698599999997
TCGA-DM-A28A-01,0.9418,0.8902,0.8917,0.9089,0.9462,0.9051,COAD,6.622,2.57233902
TCGA-D5-6534-01,0.6541,0.8219,0.7252,0.8461,0.941,0.7008,COAD,10.26,3.5285953799999996
TCGA-AZ-4616-01,0.4835,0.6651,0.7298,0.8062,0.925,0.4413,COAD,6.511,1.51116661
TCGA-D5-6533-01,0.4405,0.517,0.5821,0.6256,0.9059,0.4364,COAD,6.65,1.8625436699999995
TCGA-QG-A5Z1-01,0.8496,0.9001,0.9034,0.9108,0.9428,0.9131,COAD,7.417,3.7326427399999993
TCGA-DM-A0XF-01,0.5797,0.7763,0.7114,0.7092,0.9194,0.7081,COAD,6.087,2.8852725699999997
TCGA-G4-6295-01,0.5198,0.5743,0.8274,0.49,0.7217,0.6328,COAD,6.954,1.9303967
TCGA-CM-6680-01,0.6043,0.7229,0.5839,0.6703,0.9576,0.6764,COAD,7.888,2.88541709
TCGA-CM-6171-01,0.5918,0.4651,0.7494,0.8205,0.9164,0.4864,COAD,6.882,2.9366999899999997
TCGA-AA-3660-01,0.543,0.6907,0.8147,0.7946,0.765,0.3421,COAD,6.482,3.0561574499999997
TCGA-F4-6461-01,0.7304,0.8382,0.8291,0.7382,0.9415,0.7276,COAD,7.594,2.6996372200000005
TCGA-CM-4747-01,0.8737,0.878,0.8051,0.8686,0.9302,0.7451,COAD,7.079,2.8942269699999996
TCGA-AM-5820-01,0.4552,0.7255,0.4862,0.5754,0.862,0.5955,COAD,7.624,3.3004107799999995
TCGA-DM-A28H-01,0.2533,0.9578,0.8468,0.9406,0.9653,0.9462,COAD,5.689,2.21151856
TCGA-D5-7000-01,0.5158,0.5211,0.7946,0.7423,0.9101,0.6814,COAD,7.167,2.7032302399999995
TCGA-G4-6320-01,0.7989,0.8703,0.9205,0.8666,0.9456,0.8637,COAD,4.547,1.87232971
TCGA-5M-AAT6-01,0.5642,0.7878,0.6494,0.6214,0.9151,0.6694,COAD,9.701,2.64623645
TCGA-AZ-6605-01,0.7296,0.8217,0.7476,0.8439,0.9316,0.8021,COAD,7.94,2.8662182499999997
TCGA-G4-6310-01,0.8707,0.8868,0.9304,0.9171,0.944,0.8948,COAD,4.88,3.744676179999999
TCGA-DM-A28M-01,0.9142,0.9299,0.8306,0.9168,0.9448,0.889,COAD,3.435,1.92051885
TCGA-G4-6317-01,0.6137,0.4276,0.5013,0.7972,0.9461,0.7186,COAD,1.899,0.9405784699999996
TCGA-DM-A1D4-01,0.951,0.9326,0.8717,0.9336,0.9636,0.9179,COAD,5.122,1.3618720499999997
TCGA-CM-6170-01,0.8587,0.7497,0.7963,0.9033,0.9349,0.644,COAD,7.332,2.61132164
TCGA-NH-A50T-01,0.5082,0.2664,0.8305,0.7981,0.9337,0.256,COAD,3.382,2.10070212
TCGA-NH-A6GB-01,0.6956,0.6539,0.7865,0.593,0.9521,0.8488,COAD,5.583,2.56787156
TCGA-D5-6537-01,0.8842,0.2096,0.8957,0.8862,0.9428,0.6593,COAD,5.188,1.5929408799999996
TCGA-4N-A93T-01,0.7805,0.8906,0.9251,0.9015,0.9004,0.581,COAD,1.554,1.32928211
TCGA-F5-6812-01,0.9187,0.9026,0.8336,0.8961,0.9416,0.8545,READ,7.664,2.8043319600000003
TCGA-BM-6198-01,0.9067,0.8727,0.6832,0.904,0.9382,0.8943,READ,7.705,1.7352762100000003
TCGA-AH-6644-01,0.793,0.8891,0.8825,0.7489,0.9474,0.9108,READ,7.479,2.9603465399999993
TCGA-AH-6903-01,0.8023,0.9328,0.8732,0.9387,0.9659,0.9112,READ,5.648,2.605686739999999
TCGA-DC-6157-01,0.7764,0.9055,0.8933,0.8976,0.949,0.9262,READ,5.108,1.95214935
TCGA-AG-3592-01,0.475,0.8905,0.8663,0.8994,0.9381,0.6803,READ,7.253,2.530956700000001
TCGA-AG-3591-01,0.5631,0.8986,0.8633,0.9372,0.9448,0.7654,READ,7.149,2.34543125
TCGA-DT-5265-01,0.8975,0.9183,0.8389,0.8775,0.9665,0.9465,READ,8.333,4.30321471
TCGA-EI-6506-01,0.747,0.8085,0.8338,0.7237,0.9173,0.6765,READ,6.966,2.48111693
TCGA-CI-6620-01,0.3864,0.5082,0.8248,0.4099,0.5501,0.3917,READ,5.803,3.0246725899999993
TCGA-AH-6549-01,0.8365,0.8964,0.9125,0.8926,0.9463,0.7705,READ,8.469,3.2491461599999996
TCGA-EI-6514-01,0.6109,0.7548,0.8705,0.901,0.9518,0.6461,READ,7.618,3.3061944599999995
TCGA-DY-A1DE-01,0.3814,0.3327,0.4324,0.3316,0.4576,0.2702,READ,6.503,2.0781234399999997
TCGA-AG-3731-01,0.7375,0.8106,0.8427,0.8023,0.9425,0.7357,READ,8.069,2.3030742500000008
TCGA-EI-6510-01,0.6153,0.8501,0.8605,0.8001,0.8766,0.6771,READ,3.994,1.86075198
TCGA-EI-6513-01,0.395,0.2867,0.8149,0.8032,0.9281,0.5663,READ,5.948,2.1505917399999994
TCGA-G5-6233-01,0.6929,0.886,0.8796,0.9024,0.9376,0.8946,READ,6.637,3.080821929999999
TCGA-F5-6465-01,0.7003,0.4536,0.7589,0.7204,0.9134,0.7483,READ,8.252,2.8932263899999997
TCGA-DY-A1H8-01,0.5625,0.9043,0.8557,0.9185,0.9469,0.5922,READ,4.685,2.5494090499999995
TCGA-CL-5917-01,0.6159,0.8002,0.8075,0.855,0.9515,0.6764,READ,5.367,3.625210719999999
TCGA-AF-4110-01,0.8932,0.8757,0.8239,0.8876,0.9386,0.9185,READ,7.653,2.5536475399999996
TCGA-EI-6511-01,0.8813,0.8685,0.8248,0.8876,0.9409,0.7611,READ,8.818,2.36727007
TCGA-CI-6619-01,0.8501,0.8694,0.8114,0.8806,0.9487,0.8681,READ,6.684,2.4729319600000004
TCGA-AH-6544-01,0.8946,0.9191,0.8592,0.8908,0.962,0.8907,READ,1.761,1.2769228
TCGA-AF-6136-01,0.872,0.7463,0.8373,0.676,0.95,0.6779,READ,6.182,2.7551538
TCGA-EI-7004-01,0.6901,0.7938,0.7886,0.7635,0.9267,0.8352,READ,8.893,4.0171171800000005
TCGA-F5-6702-01,0.6141,0.796,0.8863,0.6949,0.9469,0.667,READ,8.605,3.81512036
TCGA-EI-6512-01,0.7045,0.9035,0.7628,0.9019,0.9324,0.8725,READ,6.242,2.49555567
TCGA-F5-6861-01,0.8472,0.7698,0.7674,0.9171,0.8446,0.7127,READ,6.134,2.55968962
TCGA-F5-6810-01,0.3677,0.3506,0.8743,0.8147,0.9409,0.5308,READ,6.798,3.46152956
TCGA-AF-2690-01,0.8268,0.8717,0.7189,0.7913,0.9082,0.8086,READ,10.7,3.04773325
TCGA-EF-5830-01,0.4969,0.9244,0.8823,0.9143,0.9577,0.8253,READ,7.204,2.9388902199999993
TCGA-EI-6881-01,0.9399,0.9102,0.9182,0.9167,0.9231,0.8945,READ,5.123,2.12559177
TCGA-AF-2693-01,0.9122,0.9109,0.8711,0.9231,0.9313,0.9376,READ,6.948,2.4330323199999992
TCGA-DY-A0XA-01,0.5913,0.9182,0.8211,0.7092,0.9598,0.7343,READ,6.027,2.3815725199999997
TCGA-F5-6863-01,0.8806,0.7628,0.8521,0.7284,0.7736,0.6141,READ,3.883,3.6023015700000003
TCGA-AF-6655-01,0.8476,0.9017,0.7922,0.8974,0.9466,0.8843,READ,6.453,2.72928497
TCGA-CI-6624-01,0.6609,0.6448,0.6963,0.8147,0.9409,0.777,READ,7.555,2.8029002
TCGA-DC-4745-01,0.8082,0.8159,0.8608,0.8985,0.9144,0.7727,READ,6.806,2.2704227199999996
TCGA-EI-6883-01,0.9487,0.9121,0.9374,0.8786,0.9468,0.8988,READ,5.861,1.65961722
TCGA-EI-6507-01,0.8704,0.8811,0.5852,0.8835,0.9388,0.9032,READ,9.629,3.258134329999999
TCGA-CI-6623-01,0.8931,0.9216,0.8062,0.8506,0.9334,0.9296,READ,5.462,2.61607549
TCGA-DC-5337-01,0.8908,0.9469,0.8385,0.9383,0.9571,0.9389,READ,5.537,0.9585486499999996
TCGA-CL-5918-01,0.8145,0.9127,0.8972,0.8669,0.9654,0.8347,READ,4.033,1.81377116
TCGA-DC-6156-01,0.773,0.8771,0.8477,0.9178,0.9502,0.7991,READ,9.544,3.6428337699999993
TCGA-AG-3725-01,0.6495,0.8216,0.8402,0.7562,0.9318,0.5872,READ,5.317,2.190020179999999
TCGA-F5-6864-01,0.8874,0.8813,0.805,0.8829,0.9486,0.8384,READ,8.251,3.2667841600000003
TCGA-DC-6160-01,0.9127,0.9261,0.8444,0.914,0.9439,0.923,READ,6.331,2.5422112199999995
TCGA-AF-3911-01,0.5875,0.8861,0.8673,0.8888,0.9422,0.9161,READ,7.131,2.5677044799999997
TCGA-EI-6508-01,0.5895,0.2162,0.8709,0.8992,0.9325,0.3543,READ,5.965,2.5045752999999995
TCGA-EI-6917-01,0.6645,0.9,0.7498,0.8451,0.9325,0.703,READ,9.967,2.7410463600000003
TCGA-DC-6681-01,0.6316,0.697,0.8016,0.7645,0.9318,0.6571,READ,6.939,3.5128296999999997
TCGA-F5-6814-01,0.7092,0.8153,0.8779,0.8942,0.9581,0.6569,READ,8.259,2.7540011599999996
TCGA-F5-6464-01,0.6547,0.705,0.7752,0.6908,0.9022,0.6183,READ,9.318,3.5576011899999993
TCGA-DC-6158-01,0.4635,0.3123,0.8415,0.5645,0.89,0.4693,READ,7.697,2.78829757
TCGA-DC-5869-01,0.4694,0.6099,0.8411,0.764,0.9221,0.6383,READ,6.306,2.1984435499999995
TCGA-AF-A56N-01,0.9139,0.8183,0.8103,0.5237,0.9302,0.7475,READ,5.937,2.97114963
TCGA-AG-4022-01,0.5812,0.5777,0.7966,0.6402,0.942,0.6564,READ,7.752,2.3899712099999997
TCGA-DY-A1DG-01,0.2039,0.5972,0.8818,0.8627,0.9196,0.3279,READ,2.562,1.17574948
TCGA-EF-5831-01,0.912,0.926,0.8748,0.9267,0.9437,0.9266,READ,7.662,2.77466573
TCGA-AG-3732-01,0.4631,0.7389,0.8415,0.7108,0.9156,0.4687,READ,5.98,2.132398219999999
TCGA-DY-A1DC-01,0.862,0.874,0.7843,0.8807,0.9351,0.8729,READ,5.997,2.06874254
TCGA-EI-6885-01,0.5437,0.8235,0.7854,0.8062,0.9533,0.7324,READ,7.269,2.3412260299999996
TCGA-AF-A56L-01,0.7851,0.6629,0.7426,0.813,0.9352,0.7718,READ,6.425,2.3146083799999997
TCGA-AF-A56K-01,0.5494,0.7545,0.8034,0.633,0.926,0.7661,READ,6.607,2.706822429999999
TCGA-DC-6683-01,0.7219,0.9435,0.8692,0.8735,0.9597,0.7548,READ,6.943,2.7431477
TCGA-AH-6897-01,0.1113,0.1781,0.9185,0.8707,0.9468,0.2101,READ,5.104,2.00964873
TCGA-AF-2687-01,0.4594,0.7207,0.7691,0.8031,0.9421,0.8234,READ,10.28,3.123731819999999
TCGA-EI-6882-01,0.7417,0.8919,0.8907,0.9175,0.9417,0.872,READ,7.105,2.44594114
TCGA-AH-6643-01,0.7833,0.5564,0.8385,0.5475,0.9322,0.7525,READ,5.541,3.1123409399999993
TCGA-AF-6672-01,0.6349,0.9111,0.9225,0.9162,0.9619,0.8826,READ,5.066,2.21083449
TCGA-DY-A1DF-01,0.5167,0.7253,0.8362,0.5627,0.9118,0.3863,READ,5.337,3.15243608
TCGA-DC-6155-01,0.5054,0.4493,0.8325,0.6117,0.5857,0.467,READ,4.13,1.8031759699999992
TCGA-CL-4957-01,0.5463,0.6659,0.4854,0.6407,0.6985,0.5647,READ,5.547,2.7678705999999997
TCGA-G5-6641-01,0.6505,0.8844,0.9143,0.9335,0.943,0.8484,READ,2.847,2.44791245
TCGA-AG-3742-01,0.4759,0.5577,0.8668,0.7262,0.9552,0.7819,READ,6.949,2.877887699999999
TCGA-AG-4021-01,0.9067,0.8836,0.7392,0.884,0.9309,0.929,READ,8.764,3.816012769999999
TCGA-F5-6813-01,0.9461,0.8822,0.8776,0.9142,0.9409,0.9232,READ,7.177,2.3066804800000007
TCGA-F5-6571-01,0.8707,0.912,0.8742,0.9063,0.967,0.6962,READ,8.079,3.0576054800000003
TCGA-DC-6682-01,0.8911,0.8933,0.8033,0.9102,0.9362,0.913,READ,6.015,2.0949335799999993
TCGA-EI-6509-01,0.8846,0.8529,0.8848,0.8804,0.9289,0.8623,READ,6.336,3.9298289399999993
TCGA-CI-6622-01,0.7184,0.9231,0.9043,0.9315,0.9497,0.9432,READ,5.306,2.5882427000000003
TCGA-G5-6572-01,0.9364,0.8842,0.9165,0.8418,0.9333,0.8276,READ,6.829,3.699176909999999
TCGA-CI-6621-01,0.893,0.9031,0.7987,0.9095,0.9483,0.9044,READ,7.315,2.54297259
TCGA-F5-6811-01,0.5401,0.556,0.8033,0.7676,0.9035,0.4055,READ,7.325,2.88213941
TCGA-G5-6235-01,0.6912,0.8241,0.8858,0.8913,0.9441,0.8885,READ,3.63,1.32609228
TCGA-DC-6154-01,0.5086,0.782,0.6568,0.742,0.9275,0.3747,READ,7.074,3.4361197299999997
TCGA-AH-6547-01,0.7481,0.8638,0.8419,0.8688,0.9248,0.7522,READ,9.08,2.7448878799999994
TCGA-DY-A1DD-01,0.4303,0.8686,0.8724,0.455,0.9416,0.7184,READ,4.81,2.7126404399999995
TCGA-EI-7002-01,0.9515,0.9384,0.9126,0.9002,0.9609,0.8923,READ,7.515,3.08091066
TCGA-EI-6884-01,0.9206,0.9301,0.8932,0.911,0.9486,0.8909,READ,7.759,2.8836438099999997
TCGA-DC-4749-01,0.8559,0.7889,0.8696,0.9207,0.9495,0.9196,READ,3.742,1.5725852699999994
